Pixel-X	Pixel-Y	Longitude	Latitude	radiance_1	radiance_2	radiance_3	radiance_4	radiance_5	radiance_6	radiance_7	radiance_8	radiance_9	radiance_10	radiance_11	radiance_12	radiance_13	radiance_14	radiance_15	l1_flags	detector_index	latitude	longitude	dem_alt	dem_rough	lat_corr	lon_corr	sun_zenith	sun_azimuth	view_zenith	view_azimuth	zonal_wind	merid_wind	atm_press	ozone	rel_hum
559.5	236.5	-56.76231	12.317025	64.77	55.731876	39.908016	32.341858	20.179363	12.380444	9.594152	8.679402	7.249009	5.709994	2.4932988	4.8313756	3.1100488	2.9358876	2.1450708	0	462	12.317025	-56.76231	-4448.5	0.0	0.0	0.0	44.598812	143.17097	0.0855224	178.99248	-7.7000003	-4.31875	1015.3	239.40717	61.321877
560.5	236.5	-56.75297	12.314984	64.8079	55.763687	40.02386	32.448914	20.272657	12.503265	9.683177	8.79041	7.324717	5.7966404	2.5465364	4.904028	3.1953528	2.966406	2.1776543	0	461	12.314984	-56.75297	-4449.75	0.0	0.0	0.0	44.591705	143.17911	4.0725002E-4	182.70844	-7.7000003	-4.325	1015.3	239.42249	61.350002
555.5	237.5	-56.80201	12.314749	64.83633	55.774292	39.896435	32.26692	20.048752	12.2494335	9.4777355	8.547581	7.129139	5.6146827	2.440061	4.7223973	3.0318532	2.8321245	2.079904	0	466	12.314749	-56.80201	-4444.078	0.0	0.0	0.0	44.619835	143.13045	0.42598242	160.14111	-7.7000003	-4.3124995	1015.3	239.3707	61.26797
556.5	237.5	-56.79268	12.312708	64.89317	55.82731	39.88485	32.234802	20.123386	12.314939	9.525672	8.603085	7.2174644	5.684	2.457807	4.7768865	3.081614	2.8565392	2.1342096	0	465	12.312708	-56.79268	-4445.375	0.0	0.0	0.0	44.61273	143.1386	0.3408673	165.4464	-7.7000003	-4.3187494	1015.3	239.38593	61.296875
557.5	237.5	-56.783344	12.310668	64.83633	55.74248	39.908016	32.28833	20.08607	12.290374	9.539368	8.603085	7.18592	5.640677	2.4932988	4.7659883	3.070951	2.862643	2.1124876	0	464	12.310668	-56.783344	-4446.672	0.0	0.0	0.0	44.60562	143.14673	0.2557522	170.36911	-7.7000003	-4.3249993	1015.3	239.40117	61.325783
558.5	237.5	-56.774014	12.308627	64.87422	55.86972	39.908016	32.320446	20.151375	12.396819	9.594152	8.679402	7.261627	5.727323	2.4932988	4.8386407	3.1242661	2.92368	2.1342096	0	463	12.308627	-56.774014	-4447.9688	0.0	0.0	0.0	44.598515	143.15486	0.1706372	174.88464	-7.7000003	-4.3312497	1015.3	239.4164	61.354687
552.5	238.5	-56.832375	12.3104315	65.13004	56.03938	40.000694	32.341858	20.132717	12.347691	9.532519	8.610023	7.1796107	5.658006	2.4932988	4.762356	3.0638423	2.862643	2.155932	0	469	12.3104315	-56.832375	-4440.625	0.0	0.0	0.0	44.63375	143.09807	0.6813274	142.6268	-7.7000003	-4.3125005	1015.3	239.34999	61.2375
553.5	238.5	-56.82304	12.308391	65.17742	56.134808	40.12812	32.43821	20.22601	12.445949	9.642089	8.727968	7.299481	5.787976	2.4932988	4.849539	3.1455922	2.948095	2.166793	0	468	12.308391	-56.82304	-4441.9688	0.0	0.0	0.0	44.626644	143.1062	0.5962123	148.63167	-7.7000003	-4.3187504	1015.3	239.36514	61.26719
554.5	238.5	-56.813705	12.306351	65.167946	56.102997	40.174458	32.51315	20.253998	12.445949	9.662633	8.748782	7.299481	5.770646	2.5287907	4.8894973	3.1598096	2.92368	2.1776543	0	467	12.306351	-56.813705	-4443.3125	0.0	0.0	0.0	44.619537	143.11433	0.51109725	154.50745	-7.7000003	-4.325	1015.3	239.3803	61.296883
548.5	239.5	-56.87207	12.308156	65.243744	56.102997	40.058613	32.406094	20.142046	12.347691	9.539368	8.603085	7.1733017	5.640677	2.457807	4.7587233	3.070951	2.8687468	2.1124876	2	472	12.308156	-56.87207	-4435.5	0.0	0.0	0.0	44.654793	143.05757	1.0217876	119.80719	-7.7000003	-4.30625	1015.3	239.3147	61.17188
549.5	239.5	-56.862736	12.306115	65.243744	56.102997	40.058613	32.406094	20.142046	12.347691	9.539368	8.603085	7.1733017	5.640677	2.457807	4.7587233	3.070951	2.8687468	2.1124876	0	472	12.306115	-56.862736	-4436.8906	0.0	0.0	0.0	44.647686	143.0657	0.93667257	125.11247	-7.7000003	-4.3125	1015.3	239.32977	61.202347
550.5	239.5	-56.853405	12.304074	65.22479	56.028774	40.116535	32.43821	20.179363	12.355879	9.559912	8.644712	7.2111554	5.658006	2.4844258	4.787784	3.081614	2.8687468	2.117918	0	471	12.304074	-56.853405	-4438.2812	0.0	0.0	0.0	44.640575	143.07384	0.85155743	130.74597	-7.7000003	-4.31875	1015.3	239.34485	61.232815
551.5	239.5	-56.84407	12.302034	65.18689	56.124207	40.04703	32.43821	20.160706	12.347691	9.56676	8.6238985	7.1922283	5.666671	2.4755528	4.798682	3.0887227	2.880954	2.1070569	0	470	12.302034	-56.84407	-4439.672	0.0	0.0	0.0	44.63347	143.08197	0.76644236	136.62177	-7.7000003	-4.325	1015.3	239.35992	61.263287
545.5	240.5	-56.902428	12.303838	65.36691	56.134808	40.02386	32.331154	20.048752	12.208492	9.409254	8.457387	7.040813	5.5280366	2.440061	4.64248	2.9536576	2.7588797	2.058182	0	476	12.303838	-56.902428	-4431.4375	0.0	0.0	0.0	44.668724	143.0252	1.2771329	106.26108	-7.7000003	-4.30625	1015.3	239.295	61.131252
546.5	240.5	-56.893097	12.301798	65.33849	56.209034	40.04703	32.352566	20.0954	12.265809	9.4777355	8.554519	7.110212	5.588689	2.440061	4.7006016	3.0140815	2.7832947	2.079904	0	475	12.301798	-56.893097	-4432.875	0.0	0.0	0.0	44.661617	143.03334	1.1920177	110.36875	-7.7000003	-4.3125	1015.3	239.31	61.162502
547.5	240.5	-56.883766	12.299757	65.291115	56.071186	39.977524	32.320446	20.020765	12.208492	9.429798	8.492077	7.05974	5.562695	2.448934	4.6715407	2.978538	2.7710872	2.0473208	0	474	12.299757	-56.883766	-4434.3125	0.0	0.0	0.0	44.654507	143.04147	1.1069026	114.88429	-7.7000003	-4.3187504	1015.3	239.325	61.193752
541.5	241.5	-56.942127	12.301545	65.67959	56.4105	40.070198	32.38468	20.067411	12.1839285	9.38871	8.415759	7.0218863	5.519372	2.4134424	4.6170516	2.9394403	2.734465	2.0364597	0	480	12.301545	-56.942127	-4439.1797	0.0	0.0	0.0	44.68982	142.98477	1.6174133	102.5374	-7.676172	-4.3050785	1015.29376	239.25749	61.112503
542.5	241.5	-56.93279	12.29951	65.58484	56.325672	40.09337	32.309742	20.020765	12.1839285	9.381862	8.422697	7.0155773	5.476049	2.440061	4.6134186	2.9252229	2.7161539	2.0310292	0	479	12.29951	-56.93279	-4437.328	0.0	0.0	0.0	44.682697	142.99286	1.532358	102.53992	-7.682031	-4.3117194	1015.29376	239.27374	61.125
543.5	241.5	-56.923454	12.297474	65.527985	56.251446	40.116535	32.406094	20.104729	12.257622	9.429798	8.492077	7.0912848	5.5713596	2.440061	4.6824384	2.989201	2.7649834	2.0907652	0	478	12.297474	-56.923454	-4435.4766	0.0	0.0	0.0	44.67558	143.00098	1.4473029	102.542435	-7.687891	-4.31836	1015.29376	239.29	61.1375
544.5	241.5	-56.91412	12.29544	65.41429	56.187824	40.000694	32.320446	19.983448	12.1348	9.354469	8.429635	7.0155773	5.502043	2.4223151	4.602521	2.9323316	2.7466724	2.0147374	0	477	12.29544	-56.91412	-4433.625	0.0	0.0	0.0	44.66846	143.00906	1.3622477	102.54495	-7.6937504	-4.3250003	1015.29376	239.30624	61.15
538.5	242.5	-56.97249	12.297213	66.068054	56.866447	40.255547	32.38468	20.020765	12.1839285	9.381862	8.471263	7.0345044	5.502043	2.46668	4.638847	2.9501033	2.734465	2.0255985	0	483	12.297213	-56.97249	-4447.4688	0.0	0.0	0.0	44.703808	142.95247	1.8725786	102.529686	-7.654688	-4.3078127	1015.2875	239.235	61.125
539.5	242.5	-56.96315	12.295177	66.19122	56.89826	40.406143	32.51315	20.170034	12.314939	9.525672	8.568395	7.1606836	5.6146827	2.4932988	4.74056	3.0354075	2.838228	2.0853348	0	482	12.295177	-56.96315	-4445.7656	0.0	0.0	0.0	44.69669	142.96057	1.7875234	102.5322	-7.6601567	-4.3148437	1015.2875	239.25125	61.1375
540.5	242.5	-56.95382	12.293142	65.91646	56.50593	40.15129	32.373974	20.002106	12.17574	9.375014	8.429635	7.0281954	5.4847136	2.431188	4.6170516	2.9323316	2.71005	2.0310292	0	481	12.293142	-56.95382	-4444.0625	0.0	0.0	0.0	44.68957	142.96867	1.7024682	102.53471	-7.665625	-4.321875	1015.2875	239.2675	61.15
534.5	243.5	-57.012177	12.294914	66.1249	56.84524	40.23238	32.36327	19.992777	12.1348	9.327078	8.388007	6.9840326	5.44139	2.440061	4.57346	2.8967881	2.7039464	2.0147374	0	486	12.294914	-57.012177	-4456.422	0.0	0.0	0.0	44.724926	142.91208	2.212799	102.51948	-7.6304684	-4.3007817	1015.28125	239.19624	61.125004
535.5	243.5	-57.002842	12.292879	66.1249	56.877052	40.255547	32.427505	20.002106	12.142987	9.361318	8.408821	7.0029593	5.4847136	2.431188	4.595256	2.9216685	2.7222574	2.009307	0	485	12.292879	-57.002842	-4454.867	0.0	0.0	0.0	44.717804	142.92018	2.127744	102.52199	-7.635547	-4.308203	1015.28125	239.2125	61.137505
536.5	243.5	-56.993507	12.290844	66.1628	56.887657	40.31347	32.45962	20.058083	12.17574	9.402407	8.464325	7.053431	5.519372	2.440061	4.6352143	2.9501033	2.7466724	2.0418901	2	484	12.290844	-56.993507	-4453.3125	0.0	0.0	0.0	44.710686	142.92827	2.0426886	102.5245	-7.640625	-4.315625	1015.28125	239.22874	61.15
537.5	243.5	-56.984177	12.288809	66.1628	56.887657	40.31347	32.45962	20.058083	12.17574	9.402407	8.464325	7.053431	5.519372	2.440061	4.6352143	2.9501033	2.7466724	2.0418901	0	484	12.288809	-56.984177	-4451.758	0.0	0.0	0.0	44.70356	142.93637	1.9576335	102.527016	-7.6457033	-4.323047	1015.28125	239.245	61.162502
531.5	244.5	-57.042534	12.290581	66.210175	56.824036	40.278717	32.502445	20.08607	12.1839285	9.368166	8.422697	7.0218863	5.476049	2.431188	4.602521	2.9216685	2.6917388	2.0147374	0	489	12.290581	-57.042534	-4462.7812	0.0	0.0	0.0	44.738926	142.87979	2.4679642	102.51179	-7.614063	-4.2984376	1015.275	239.17374	61.1375
